date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:19	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2020%20May%202018%2010:07:19%20GMT	https://m.facebook.com/a/language.php?l=it_IT&lref=https%3A%2F%2Fm.facebook.com%2F%3Frefsrc%3Dhttps%253A%252F%252Fm.facebook.com%252F&gfid=AQD189Ay40RDuSz8&refid=8	C:/My%20Web%20Sites/facbook/m.facebook.com/a/language6ca0.php	(from https://m.facebook.com/?refsrc=https%3A%2F%2Fm.facebook.com%2F&_rdr)
11:07:19	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2020%20May%202018%2010:07:19%20GMT	https://m.facebook.com/a/language.php?l=de_DE&lref=https%3A%2F%2Fm.facebook.com%2F%3Frefsrc%3Dhttps%253A%252F%252Fm.facebook.com%252F&gfid=AQAH4fHLRR1B1aDs&refid=8	C:/My%20Web%20Sites/facbook/m.facebook.com/a/language9947.php	(from https://m.facebook.com/?refsrc=https%3A%2F%2Fm.facebook.com%2F&_rdr)
11:07:19	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2020%20May%202018%2010:07:19%20GMT	https://m.facebook.com/a/language.php?l=en_GB&lref=https%3A%2F%2Fm.facebook.com%2F%3Frefsrc%3Dhttps%253A%252F%252Fm.facebook.com%252F&gfid=AQD36u00Xp3DvPj4&refid=8	C:/My%20Web%20Sites/facbook/m.facebook.com/a/language2ba8.php	(from https://m.facebook.com/?refsrc=https%3A%2F%2Fm.facebook.com%2F&_rdr)
11:07:19	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2020%20May%202018%2010:07:19%20GMT	https://m.facebook.com/a/language.php?l=fr_FR&lref=https%3A%2F%2Fm.facebook.com%2F%3Frefsrc%3Dhttps%253A%252F%252Fm.facebook.com%252F&gfid=AQCmtLTKxbZcDPMR&refid=8	C:/My%20Web%20Sites/facbook/m.facebook.com/a/language9256.php	(from https://m.facebook.com/?refsrc=https%3A%2F%2Fm.facebook.com%2F&_rdr)
11:07:20	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2020%20May%202018%2010:07:20%20GMT	https://m.facebook.com/a/language.php?l=pt_BR&lref=https%3A%2F%2Fm.facebook.com%2F%3Frefsrc%3Dhttps%253A%252F%252Fm.facebook.com%252F&gfid=AQA-2I2BRDMFB3bg&refid=8	C:/My%20Web%20Sites/facbook/m.facebook.com/a/languageb23b.php	(from https://m.facebook.com/?refsrc=https%3A%2F%2Fm.facebook.com%2F&_rdr)
11:07:20	99689/99689	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2010:07:20%20GMT	https://m.facebook.com/language.php?n=https%3A%2F%2Fm.facebook.com%2F%3Frefsrc%3Dhttps%253A%252F%252Fm.facebook.com%252F&refid=8	C:/My%20Web%20Sites/facbook/m.facebook.com/language9433.html	(from https://m.facebook.com/?refsrc=https%3A%2F%2Fm.facebook.com%2F&_rdr)
11:07:20	5911/5911	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yH/l/0,cross/WAgMmsR0Hb8.css	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3/yH/l/0,cross/WAgMmsR0Hb8.css	(from https://m.facebook.com/language.php?n=https%3A%2F%2Fm.facebook.com%2F&refid=8)
11:07:20	1339/1339	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y-/l/0,cross/Xr-JNs1CR2A.css	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3/y-/l/0,cross/Xr-JNs1CR2A.css	(from https://m.facebook.com/language.php?n=https%3A%2F%2Fm.facebook.com%2F&refid=8)
11:07:21	6640/6640	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yu/l/0,cross/KbBdiYnbsbC.css	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3/yu/l/0,cross/KbBdiYnbsbC.css	(from https://m.facebook.com/language.php?n=https%3A%2F%2Fm.facebook.com%2F&refid=8)
11:07:21	9335/9335	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/xYdi30HBctg.css	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/xYdi30HBctg.css	(from https://m.facebook.com/language.php?n=https%3A%2F%2Fm.facebook.com%2F&refid=8)
11:07:21	55823/55823	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/3C9hDxy3vLs.css	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/3C9hDxy3vLs.css	(from https://m.facebook.com/language.php?n=https%3A%2F%2Fm.facebook.com%2F&refid=8)
11:07:21	24446/24446	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/y5GsVeHJ118.css	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/y5GsVeHJ118.css	(from https://m.facebook.com/language.php?n=https%3A%2F%2Fm.facebook.com%2F&refid=8)
11:07:21	32899/32899	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yf/l/0,cross/kAllmOOX6Dl.css	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3/yf/l/0,cross/kAllmOOX6Dl.css	(from https://m.facebook.com/language.php?n=https%3A%2F%2Fm.facebook.com%2F&refid=8)
11:07:22	20591/20591	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/YJMkR3Vvelx.css	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/YJMkR3Vvelx.css	(from https://m.facebook.com/language.php?n=https%3A%2F%2Fm.facebook.com%2F&refid=8)
11:07:22	26319/26319	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yf/l/0,cross/oa3ZnD9vHlG.css	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3/yf/l/0,cross/oa3ZnD9vHlG.css	(from https://m.facebook.com/language.php?n=https%3A%2F%2Fm.facebook.com%2F&refid=8)
11:07:22	377252/377252	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3iLql4/yP/l/pt_BR/yinLk-lsTkS.js	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3iLql4/yP/l/pt_BR/yinLk-lsTkS.js	(from https://m.facebook.com/language.php?n=https%3A%2F%2Fm.facebook.com%2F&refid=8)
